iso3,country,pillar,module,indicator_id,indicator_name,indicator_type,variable_name,question,hierarchy_level,data_type,response,response_value,normalized_response_value,weight,score,parent,row_order,question_order,wip,wib,wim,regional_hub,un_region,barometer_region
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1,Rights and responsibilities:,3,response,,,,80.0,32.0,G.GOVERNANCE.DPL.e,0.0,50952,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1.CONSENT,The framework provides data subjects with rights of choice or consent.,4,response,Yes,2,1.0,16.0,16.0,G.GOVERNANCE.DPL.e.e1,0.0,50953,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1.CONSENT,2;Please indicate which section of the framework refers to this issue.,4,supporting,"The Civil Code Chapter 6 ""Privacy and Personal Information Protection"" layouts the general foundation and guidelines for personal information processing stating that first an individual must be well informed of the purposes and procedures of processing personal information and second an explicit consent must be obtained to legally process personal information . The Cybersecurity law (Article 41) and the draft of Personal Information Protection Law (Article 13) also provides similar statements. The Article 17 of the drafted Personal Information Protection Law also empowers the individual to access to service even without giving any consent to process personal information whenever it's possible.

Above frameworks also layouts exceptions for consent if allowed by relevant laws and regulations : for instance under the condition of a national security or public health emergency case, or  news report that is relevant to public interest.",,,,,G.GOVERNANCE.DPL.e.e1,2.1,50953,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1.ACCESS_CORRECTION,The framework provides data subjects with rights to access and correct data about themselves.,4,response,Yes,2,1.0,16.0,16.0,G.GOVERNANCE.DPL.e.e1,0.0,50954,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1.ACCESS_CORRECTION,2;Please indicate which section of the framework refers to this issue.,4,supporting,The Civil Code Article 1037 empowers people the right to access and copy own personal information and has the right to correct and ask to delete information. The draft of Personal Information Protection Law specifies the data subject's right to access and correct own information. The article 44-45 grants the data subject's the right to know what information is held by the data handler and has the right to access. The article 46-47 empowers the data subject to correct and even delete relevant personal information.,,,,,G.GOVERNANCE.DPL.e.e1,2.1,50954,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1.DATA_HOLDER_RESPONSIBILITY,The framework sets out clear responsibilities for data holders.,4,response,No,0,0.0,16.0,0.0,G.GOVERNANCE.DPL.e.e1,0.0,50955,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1.REDRESS,The framework provides rights of redress,4,response,No,0,0.0,16.0,0.0,G.GOVERNANCE.DPL.e.e1,0.0,50956,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e1.BREACH,The framework requires data controllers to notify an appropriate authority of data breaches.,4,response,No,0,0.0,16.0,0.0,G.GOVERNANCE.DPL.e.e1,0.0,50957,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e2,Specific considerations:,3,response,,,,20.0,5.0,G.GOVERNANCE.DPL.e,0.0,50958,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e2.LOCATION,Frameworks explicitly cover the protection of location-related data.,4,response,Partially,1,0.5,10.0,5.0,G.GOVERNANCE.DPL.e.e2,0.0,50959,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e2.LOCATION,1;Please indicate which section of the framework refers to this issue and explain your 'Partially' response.,4,supporting,The location-related data is covered in the definition of what is personal information. The Civil law defined personal information includes personal location history information.,,,,,G.GOVERNANCE.DPL.e.e2,2.0,50959,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.e2.AI,The framework addresses algorithmic decision making.,4,response,No,0,0.0,10.0,0.0,G.GOVERNANCE.DPL.e.e2,0.0,50960,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.eb,Negative scoring:,3,response,,,,-20.0,0.0,G.GOVERNANCE.DPL.e,0.0,50961,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.e.eb.COVIDEXCEPTIONS,Exceptions to the usual data protection framework have been made as part of the country's COVID-19 response.,4,response,No,0,0.0,-20.0,-0.0,G.GOVERNANCE.DPL.e.eb,0.0,50962,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.c,Extent,2,response,,,,1.0,0.9,G.GOVERNANCE.DPL,0.0,50963,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.c.SECTOR_EXTENT,How broadly does this data protection framework apply?,4,response,The framework applies widely in one or more sectors.,1,0.5,,,G.GOVERNANCE.DPL.c,0.0,50964,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.c.SECTOR_EXTENT,1;Please list the specific sectors the framework applies to.,4,supporting,"The ""CyberSecurity law"" effective in 2017, ""Information Security Technology — Personal Information Security Specification"" effective in 2020 and  ""Civil Code"" effective in 2021 as well as other fragmented sector-specific or issue-specific regulations, guidelines and specifications all together already make a robust and strong framework for personal information protection",,,,,G.GOVERNANCE.DPL.c,2.1,50964,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.c.GEOGRAPHIC_SCOPE,Does this framework apply across the whole country?,4,response,"The framework assessed, or equivalent frameworks, apply across the whole country.",2,1.0,,,G.GOVERNANCE.DPL.c,0.0,50965,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DPL,Governance (G): Data protection,Primary,G.GOVERNANCE.DPL.c.GEOGRAPHIC_SCOPE,"2;Please indicate if the framework applies to the whole country, and if not, mention some of the equivalent ones from other regions.",4,supporting,yet it applies to the whole country,,,,,G.GOVERNANCE.DPL.c,2.2,50965,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY,"To what extent do relevant laws, regulations, policies, and guidance provide a comprehensive framework for generating and publishing open data?",1,response,,,,,18.900000000000002,G.GOVERNANCE.ODPOLICY,0.0,50966,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY,"To what extent do relevant laws, regulations, policies, and guidance provide a comprehensive framework for generating and publishing open data?",1,justification,"Unlike most of countries operating open government data initiatives, China takes a bottom-up approach where more than 170 local governments actively publish open data and make new policies and laws on open data (1) while the national government itself has not yet launched open data portal and not released any nation-wide open data policy.

Regarding policy and legal frameworks, the fact is there is no nation-wide open data specific framework yet but local governments already made some efforts on making such frameworks. For instance, Guiyang is the pionner making the very first open data related policy but Shanghai's local open data framework (2) sets out the foundation for other local governments to adopt and localize. At least, there are 8 local governments make such framework for open data but there are also more than 30 local governmnents has framework on governing public data or governemnt data which also include sections on open data.(1)

Usually the local commission for economy and informatizatiaon or the designated  Big Data Bureau is responsible for making the framework and enforcing it. The frameworks across china in common define open data as ""raw, reusable and machine readable data"" but categorize government data or public data into unconditonal open data, conditional open data and closed data which is significantly different from what is defined in the west (2). All local frameworks introduce mechanism to annually monitor and assess the implementation of open data across local departments but the level of enforcement varies

(1): China Open Data Index Report (2020), Fudan University, http://www.ifopendata.cn/static/report/%E4%B8%AD%E5%9B%BD%E5%9C%B0%E6%96%B9%E6%94%BF%E5%BA%9C%E6%95%B0%E6%8D%AE%E5%BC%80%E6%94%BE%E6%8A%A5%E5%91%8A%EF%BC%882020%E4%B8%8B%E5%8D%8A%E5%B9%B4%EF%BC%89.pdf
(2):Shanghai Open Data Act, 2019, https://www.shanghai.gov.cn/nw48156/20200825/0001-48156_62825.html",,,,,G.GOVERNANCE.ODPOLICY,1.0,50966,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY,1,1,example,[China Open Data Index Report (2020)](https://2021-files.globaldatabarometer.org/171/QuVwv60-%E4%B8%AD%E5%9B%BD%E5%9C%B0%E6%96%B9%E6%94%BF%E5%BA%9C%E6%95%B0%E6%8D%AE%E5%BC%80%E6%94%BE%E6%8A%A5%E5%91%8A%EF%BC%882020%E4%B8%8B%E5%8D%8A%E5%B9%B4%EF%BC%89.pdf),,,,,G.GOVERNANCE.ODPOLICY,3.0,50966,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY,2,1,example,[Shanghai Open Data Act](https://www.shanghai.gov.cn/nw48156/20200825/0001-48156_62825.html),,,,,G.GOVERNANCE.ODPOLICY,3.1,50966,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY.a,Existence,2,response,,,,1.0,0.9,G.GOVERNANCE.ODPOLICY,0.0,50967,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY.a.EXISTS,What is the nature of the framework?,4,response,A framework exists but lacks full force of law.,1,0.5,,,G.GOVERNANCE.ODPOLICY.a,0.0,50968,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY.a.EXISTS,"0,1;In the absence of a strong legal framework, are there alternative norms or customs that play this role in the country? If so, please explain how. ",4,supporting,no,,,,,G.GOVERNANCE.ODPOLICY.a,2.0,50968,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY.e,Elements,2,response,,,,100.0,30.0,G.GOVERNANCE.ODPOLICY,0.0,50969,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY.e.e1,Rights and responsibilities:,3,response,,,,80.0,30.0,G.GOVERNANCE.ODPOLICY.e,0.0,50970,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY.e.e1.OPENDATA-DEF,The framework establishes a common definition of open data.,4,response,Partially,1,0.5,20.0,10.0,G.GOVERNANCE.ODPOLICY.e.e1,0.0,50971,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY.e.e1.OPENDATA-DEF,1;Please indicate which section of the framework refers to this issue and explain your 'Partially' response.,4,supporting,"Please note there is no national framework available on open data but the most adopted version of open data definition currently is based upon the shanghai open data act (1) which states that ""open data refers to the action of providing the public with raw, reusable and machine-readable data"" (article 3) and ""it is composed of unconditional open data and conditional open data which requires application to access and allow reuse under certain condition."" (article 11) 

(1) shanghai open data act 《上海市公共数据开放暂行办法》(沪府令21号), 2019, https://www.shanghai.gov.cn/nw48156/20200825/0001-48156_62825.html,",,,,,G.GOVERNANCE.ODPOLICY.e.e1,2.0,50971,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY.e.e1.OPENLICENCES,The framework promotes open licensing without any restrictions beyond attribution and share-alike.,4,response,No,0,0.0,20.0,0.0,G.GOVERNANCE.ODPOLICY.e.e1,0.0,50972,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY.e.e1.MACHINE_READABLE,The framework requires to publish data in machine readable formats.,4,response,Yes,2,1.0,20.0,20.0,G.GOVERNANCE.ODPOLICY.e.e1,0.0,50973,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY.e.e1.MACHINE_READABLE,2;Please indicate which section of the framework refers to this issue.,4,supporting,"Most of local framework has machine readability requirements in its definition of open data which states that ""open data refers to the action of providing the public with raw, reusable and machine-readable data"" (for instance, article 3, Shanghai open data act (1) )

(1) shanghai open data act 《上海市公共数据开放暂行办法》(沪府令21号), 2019, https://www.shanghai.gov.cn/nw48156/20200825/0001-48156_62825.html,",,,,,G.GOVERNANCE.ODPOLICY.e.e1,2.1,50973,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY.e.e1.STANDARDS,The rules/guidance requires the use of specific data standards.,4,response,No,0,0.0,20.0,0.0,G.GOVERNANCE.ODPOLICY.e.e1,0.0,50974,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY.e.e2,Specific considerations:,3,response,,,,20.0,0.0,G.GOVERNANCE.ODPOLICY.e,0.0,50975,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY.e.e2.CAPACITY,The framework promotes training and capacity building among government officials.,4,response,No,0,0.0,20.0,0.0,G.GOVERNANCE.ODPOLICY.e.e2,0.0,50976,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY.c,Extent,2,response,,,,1.0,0.7,G.GOVERNANCE.ODPOLICY,0.0,50977,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY.c.EXTENT,"How widely do these laws, regulations, policies or guidance apply?",4,response,"The laws, policies and guidance assessed cover a limited number of localities or government agencies.",0,0.0,,,G.GOVERNANCE.ODPOLICY.c,0.0,50978,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.ODPOLICY,Governance (G): Open data policy,Primary,G.GOVERNANCE.ODPOLICY.c.EXTENT,"0,1,2;Please explain your answer and provide supporting urls if necessary.",4,supporting,"According to the China Open Data Index Report (2020) produced by Fudan University, by Oct 2020, there are 38 local governments having their own data related policy or legal framework but only 8 of them having open data specific policy.",,,,,G.GOVERNANCE.ODPOLICY.c,2.0,50978,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
CHN,China,Governance,GOVERNANCE,G.GOVERNANCE.DATASHARING,Governance (G): Data sharing frameworks,Primary,G.GOVERNANCE.DATASHARING,"To what extent do relevant laws, regulations, policies, and guidance provide a comprehensive framework for data sharing?",1,response,,,,,60.00000000000001,G.GOVERNANCE.DATASHARING,0.0,50979,0.1,0.03,0.2,Open Data China,Eastern Asia,South and East Asia
